platform,post_type,media_type,post_hour,content_topic,has_call_to_action,call_to_action_type,features_resident_story,predicted_engagement_rate,predicted_p_any_referral,predicted_referrals_count,ranking_score,goal,why_recommended
WhatsApp,ImpactStory,Reel,20,Health,1.0,ShareStory,1.0,0.1468,0.95,4.25,0.9883,donations,media Reel; Pred engagement 0.147; P(any referral) 0.950; expected referrals 4.3; CTA included; resident story content; donations goal weighting
WhatsApp,ImpactStory,Reel,20,Health,1.0,SignUp,1.0,0.146,0.95,4.24,0.9864,donations,media Reel; Pred engagement 0.146; P(any referral) 0.950; expected referrals 4.2; CTA included; resident story content; donations goal weighting
YouTube,ImpactStory,Reel,20,Health,1.0,ShareStory,1.0,0.1441,0.95,4.25,0.9862,donations,media Reel; Pred engagement 0.144; P(any referral) 0.950; expected referrals 4.3; CTA included; resident story content; donations goal weighting
