platform,post_type,media_type,post_hour,content_topic,has_call_to_action,call_to_action_type,features_resident_story,predicted_engagement_rate,predicted_p_any_referral,predicted_referrals_count,ranking_score,goal,why_recommended
Instagram,FundraisingAppeal,Video,20,Health,1.0,ShareStory,1.0,0.1579,0.95,3.77,0.972,awareness,media Video; Pred engagement 0.158; P(any referral) 0.950; expected referrals 3.8; CTA included; resident story content; awareness goal weighting
Instagram,FundraisingAppeal,Video,20,AwarenessRaising,1.0,ShareStory,1.0,0.1551,0.95,3.65,0.9515,awareness,media Video; Pred engagement 0.155; P(any referral) 0.950; expected referrals 3.7; CTA included; resident story content; awareness goal weighting
Instagram,FundraisingAppeal,Video,20,Health,1.0,ShareStory,0.0,0.1579,0.9232,2.6,0.9512,awareness,media Video; Pred engagement 0.158; P(any referral) 0.923; expected referrals 2.6; CTA included; awareness goal weighting
